time(s),temp_rise(℃）
1,1.4
2,1.4
3,1.4
4,1.4
5,1.4
6,1.45
7,1.5
8,1.7
9,2.05
10,2.4
11,2.85
12,3.4
13,3.95
14,4.4
15,5
16,5.55
17,6.15
18,6.8
19,7.4
20,8.1
21,8.75
22,9.45
23,10.05
24,10.5
25,10.95
26,11.6
27,12.15
28,12.75
29,13.3
30,14.05
31,14.6
32,15.1
33,15.7
34,16.4
35,17.05
36,17.55
37,17.95
38,18.65
39,19.3
40,20.05
41,20.6
42,21.1
43,21.75
44,22.15
45,22.5
46,23.1
47,23.75
48,24.25
49,24.6
50,25.05
51,25.35
52,25.9
53,26.05
54,26.4
55,26.8
56,27.25
57,27.75
58,28.45
59,28.7
60,28.7
61,29
62,29.4
63,29.95
64,30.25
65,30.75
66,31.1
67,31.6
68,31.9
69,32.55
70,32.9
71,33.35
72,33.8
73,34.3
74,34.9
75,35.1
76,35.2
77,35.4
78,35.7
79,35.85
80,36.35
81,36.3
82,36.25
83,36.05
84,36.45
85,36.95
86,37.25
87,37.55
88,37.1
89,36.55
90,36.5
91,36.2
92,36.05
93,36.1
94,36.6
95,37.05
96,37.55
97,37.85
98,38.25
99,38.3
100,38.5
101,38.6
102,38.75
103,38.95
104,39.2
105,39.35
106,39.3
107,39.3
108,39.7
109,39.5
110,39.25
111,38.9
112,38.5
113,38.15
114,38
115,38.25
116,38.15
117,38.15
118,38.05
119,38.25
120,38.55
121,38.95
122,39.45
123,39.55
124,39.75
125,39.95
126,39.75
127,39.35
128,39.6
129,39.8
130,39.75
131,39.65
132,39.6
133,39.6
134,39.55
135,39.65
136,39.9
137,39.7
138,40
139,39.9
140,40.05
141,40.5
142,40.65
143,40.3
144,40
145,40.05
146,40.1
147,40.25
148,40.4
149,40.95
150,41.35
151,41.4
152,41.6
153,41.6
154,41.2
155,41.05
156,40.4
157,40.05
158,39.6
159,39.55
160,40.1
161,39.85
162,40.2
163,40.45
164,40.75
165,41.05
166,41.55
167,41.8
168,42.2
169,42.25
170,42.55
171,43.1
172,43.7
173,43.6
174,43.15
175,42.8
176,42.55
177,42.7
178,42.6
179,42.9
180,43.1
181,43.35
182,43.9
183,44.35
184,44.05
185,43.85
186,44.3
187,44.05
188,43.85
189,43.8
190,43.95
191,44.2
192,44.6
193,44.75
194,45.05
195,45.1
196,45.3
197,45.5
198,45.65
199,45.8
200,46.05
201,46
202,46.15
203,46.25
204,46.5
205,46.45
206,46.55
207,46.8
208,47
209,47
210,47.15
211,46.9
212,47.1
213,47.05
214,46.9
215,46.35
216,45.65
217,44.85
218,43.05
219,41.85
220,42.55
221,43.65
222,43.45
223,42.95
224,42.95
225,42.85
226,42.85
227,43.15
228,43.7
229,44
230,43.9
231,43.75
232,44.15
233,44.75
234,44.55
235,44.55
236,44.25
237,43.85
238,43.5
239,43.2
240,42.5
241,41.9
242,41.2
243,40.2
244,39.35
245,38.35
246,37.55
247,36.5
248,36.45
249,37.5
250,37.15
251,38.05
252,37.9
253,38.1
254,38
255,38.3
256,39
257,39.2
258,39.1
259,39.7
260,40.4
261,40.4
262,40.2
263,40.1
264,40.4
265,38.85
266,38.95
267,38.5
268,38.35
269,38.8
270,38.75
271,38.85
272,39.45
273,39.1
274,39.4
275,39.55
276,40.2
277,40.65
278,40.75
279,40.95
280,40.8
281,41
282,41.25
283,40.85
284,40.4
285,40.9
286,41.2
287,41.15
288,40.7
289,40.75
290,40.9
291,40.9
