"File name","WAVE0004.CSV","V 1.11"
"Title comment","1TEST"
"Trigger Time","21-08-03 10:27:29"
"Ch","Mode","Range","Comment","Scaling","Ratio","Offset"
"CH-1","Tc","2000 C","","OFF","-","-"
"CH-2","Tc","2000 C","","OFF","-","-"
"CH-3","Tc","2000 C","","OFF","-","-"
"CH-4","Tc","2000 C","","OFF","-","-"
"Time","CH-1[C]","CH-2[C]","CH-3[C]","CH-4[C]","Event",
 0.000000000E+00, 2.51000E+01, 2.51000E+01, 2.53000E+01, 2.49000E+01,0,
 1.000000000E+00, 2.51000E+01, 2.52000E+01, 2.52000E+01, 2.49000E+01,0,
 2.000000000E+00, 2.52000E+01, 2.54000E+01, 2.54000E+01, 2.49000E+01,0,
 3.000000000E+00, 2.54000E+01, 2.61000E+01, 2.60000E+01, 2.49000E+01,0,
 4.000000000E+00, 2.59000E+01, 2.70000E+01, 2.69000E+01, 2.49000E+01,0,
 5.000000000E+00, 2.66000E+01, 2.79000E+01, 2.77000E+01, 2.50000E+01,0,
 6.000000000E+00, 2.75000E+01, 2.91000E+01, 2.87000E+01, 2.50000E+01,0,
 7.000000000E+00, 2.83000E+01, 3.00000E+01, 3.01000E+01, 2.49000E+01,0,
 8.000000000E+00, 2.91000E+01, 3.05000E+01, 3.14000E+01, 2.49000E+01,0,
 9.000000000E+00, 3.02000E+01, 3.13000E+01, 3.28000E+01, 2.50000E+01,0,
 1.000000000E+01, 3.12000E+01, 3.21000E+01, 3.42000E+01, 2.49000E+01,0,
 1.100000000E+01, 3.21000E+01, 3.37000E+01, 3.56000E+01, 2.48000E+01,0,
 1.200000000E+01, 3.33000E+01, 3.45000E+01, 3.70000E+01, 2.48000E+01,0,
 1.300000000E+01, 3.43000E+01, 3.52000E+01, 3.84000E+01, 2.48000E+01,0,
 1.400000000E+01, 3.55000E+01, 3.70000E+01, 4.00000E+01, 2.49000E+01,0,
 1.500000000E+01, 3.68000E+01, 3.78000E+01, 4.15000E+01, 2.49000E+01,0,
 1.600000000E+01, 3.79000E+01, 3.88000E+01, 4.27000E+01, 2.49000E+01,0,
 1.700000000E+01, 3.89000E+01, 4.04000E+01, 4.40000E+01, 2.49000E+01,0,
 1.800000000E+01, 3.96000E+01, 4.18000E+01, 4.55000E+01, 2.49000E+01,0,
 1.900000000E+01, 4.05000E+01, 5.14000E+01, 4.68000E+01, 2.49000E+01,0,
 2.000000000E+01, 4.15000E+01, 5.30000E+01, 4.79000E+01, 2.49000E+01,0,
 2.100000000E+01, 4.23000E+01, 5.25000E+01, 4.88000E+01, 2.50000E+01,0,
 2.200000000E+01, 4.34000E+01, 5.08000E+01, 4.98000E+01, 2.49000E+01,0,
 2.300000000E+01, 4.43000E+01, 4.97000E+01, 5.11000E+01, 2.49000E+01,0,
 2.400000000E+01, 4.45000E+01, 4.90000E+01, 5.25000E+01, 2.49000E+01,0,
 2.500000000E+01, 4.52000E+01, 4.80000E+01, 5.36000E+01, 2.50000E+01,0,
 2.600000000E+01, 4.57000E+01, 4.91000E+01, 5.39000E+01, 2.50000E+01,0,
