Temperature_rise,current,damage,aging
3.2,6,0.5,6
7.8,10,0.5,6
13.5,13,0.5,6
18.2,15,0.5,6
27.3,18,0.5,6
35.6,20,0.5,6
4.7,6,0.75,6
9.5,10,0.75,6
19.6,13,0.75,6
25.3,15,0.75,6
32.3,18,0.75,6
46.4,20,0.75,6
4.9,6,1,6
13.6,10,1,6
21.5,13,1,6
26.2,15,1,6
38.7,18,1,6
48,20,1,6
4.5,6,0.5,12
11.8,10,0.5,12
19.6,13,0.5,12
23.4,15,0.5,12
42.5,18,0.5,12
46.3,20,0.5,12
4.4,6,0.75,12
12.5,10,0.75,12
24.6,13,0.75,12
33.6,15,0.75,12
42.5,18,0.75,12
53.6,20,0.75,12
6,6,1,12
15.4,10,1,12
26.3,13,1,12
34.6,15,1,12
44,18,1,12
56.4,20,1,12
5.3,6,0.5,36
12.4,10,0.5,36
19.5,13,0.5,36
25.5,15,0.5,36
37.3,18,0.5,36
47.5,20,0.5,36
4.5,6,0.75,36
15.5,10,0.75,36
26.8,13,0.75,36
36.4,15,0.75,36
46.2,18,0.75,36
58.5,20,0.75,36
6.5,6,1,36
18.2,10,1,36
28.9,13,1,36
38.8,15,1,36
47.6,18,1,36
5.3,6,0.5,60
13.5,10,0.5,60
24.1,13,0.5,60
34.3,15,0.5,60
44.8,18,0.5,60
51.9,20,0.5,60
7.2,6,0.75,60
20.5,10,0.75,60
31.3,13,0.75,60
42.9,15,0.75,60
50.1,18,0.75,60
70.9,20,0.75,60
7.3,6,1,60
21.3,10,1,60
35.4,13,1,60
47.7,15,1,60
65.4,18,1,60
85.7,20,1,60
