time(s),temp_rise(℃）
1,0.85
2,0.9
3,0.8
4,0.8
5,0.85
6,0.8
7,0.85
8,1
9,1
10,1.15
11,1.25
12,1.4
13,1.55
14,1.65
15,1.7
16,1.85
17,1.95
18,2.1
19,2.3
20,2.5
21,2.7
22,2.9
23,3
24,3.2
25,3.3
26,3.55
27,3.6
28,3.85
29,3.95
30,4.1
31,4.25
32,4.35
33,4.5
34,4.65
35,4.75
36,4.85
37,4.95
38,5
39,5.2
40,5.25
41,5.3
42,5.45
43,5.65
44,5.75
45,6.05
46,6.05
47,6.05
48,6.05
49,6.2
50,6.2
51,6.2
52,6.35
53,6.5
54,6.65
55,6.85
56,6.85
57,6.8
58,7
59,7.1
60,7.05
61,7.2
62,7.25
63,7.3
64,7.55
65,7.65
66,7.7
67,7.8
68,7.75
69,7.75
70,7.7
71,7.75
72,7.85
73,7.9
74,8.1
75,8.3
76,8.4
77,8.35
78,8.35
79,8.35
80,8.55
81,8.75
82,9
83,9
84,9.05
85,9.15
86,9.15
87,9.15
88,9.25
89,9.4
90,9.65
91,9.75
92,9.85
93,9.85
94,9.9
95,9.75
96,9.8
97,9.7
98,9.65
99,9.85
100,9.9
101,9.9
102,9.95
103,9.9
104,9.85
105,9.95
106,9.95
107,9.9
108,9.9
109,10
110,9.85
111,9.7
112,9.75
113,9.75
114,9.75
115,9.65
116,9.55
117,9.45
118,9.4
119,9.45
120,9.35
121,9.5
122,9.65
123,9.7
124,9.75
125,9.85
126,9.95
127,10
128,10.1
129,10.1
130,10.25
131,10.3
132,10.3
133,10.35
134,10.3
135,10.45
136,10.55
137,10.6
138,10.4
139,10.45
140,10.45
141,10.6
142,10.6
143,10.55
144,10.5
145,10.65
146,10.7
147,10.65
148,10.55
149,10.45
150,10.4
151,10.4
152,10.55
153,10.6
154,10.6
155,10.65
156,10.6
157,10.5
158,10.55
159,10.55
160,10.4
161,10.5
162,10.4
163,10.2
164,10.15
165,10.15
166,10.3
167,10.45
168,10.55
169,10.65
170,10.8
171,10.7
172,10.65
173,10.55
174,10.55
175,10.65
176,10.6
177,10.7
178,10.8
179,10.8
180,10.85
181,10.85
182,10.8
183,10.75
184,10.7
185,10.7
186,10.75
187,10.75
188,10.75
189,10.7
190,10.7
191,10.7
192,10.6
193,10.6
194,10.65
195,10.65
196,10.7
197,10.75
198,10.75
199,10.7
200,10.65
201,10.75
202,10.7
203,10.6
204,10.7
205,10.7
206,10.6
207,10.6
208,10.55
209,10.5
210,10.7
211,10.75
212,10.95
213,10.95
214,10.9
215,10.8
216,10.9
217,10.75
218,10.65
219,10.7
220,10.7
221,10.65
222,10.55
223,10.65
224,10.8
225,10.9
226,10.8
227,10.7
228,10.75
229,10.85
230,11.05
231,11.3
232,11.5
233,11.6
234,11.7
235,11.75
236,11.75
237,11.65
238,11.7
239,11.6
240,11.45
241,11.4
242,11.35
243,11.3
244,11.15
245,11.05
246,11
247,10.95
248,10.95
249,10.9
250,10.75
251,10.75
252,10.9
253,10.85
254,10.95
255,10.9
256,10.9
257,10.95
258,10.9
259,10.95
260,10.9
261,10.95
262,10.95
263,10.9
264,10.95
265,10.9
266,10.9
267,10.95
268,11.1
269,11.25
270,11.3
271,11.35
272,11.25
273,11.2
274,11.1
275,10.95
276,10.9
277,10.85
278,10.75
279,10.6
280,10.6
281,10.65
282,10.7
283,10.75
284,10.85
285,10.95
286,11
287,10.95
288,10.9
289,10.85
290,10.85
291,10.85
292,10.85
293,10.9
294,10.9
295,10.85
296,10.85
297,11.2
298,11.4
299,11.5
300,11.25
301,11.45
302,11.55
303,11.65
304,11.75
305,11.85
306,11.85
307,11.8
308,11.45
309,11.25
310,11.1
311,11.05
312,11.3
313,11.35
314,11.4
315,11.35
316,11.15
317,10.95
318,11
319,10.95
320,10.75
321,10.65
322,10.55
323,10.45
324,10.3
325,10.35
326,10.35
327,10.25
328,10.45
329,10.55
330,10.55
331,10.5
332,10.55
333,10.55
334,10.5
335,10.5
336,10.4
337,10.4
338,10.5
339,10.65
340,10.8
341,10.8
342,10.85
343,10.95
344,11
345,10.85
346,10.9
347,11.05
348,11.15
349,11.2
350,11.15
351,11.2
352,11.15
353,11.3
354,11.45
355,11.35
356,11.05
357,11
358,10.95
359,11.15
360,11.2
361,11.15
362,11.15
363,11.3
364,11.25
365,10.95
366,10.8
367,10.6
368,10.5
369,10.6
370,10.55
371,10.5
372,10.6
373,10.7
374,10.85
375,10.85
376,10.95
377,11
378,10.95
379,11
380,10.95
381,10.9
382,10.95
383,10.95
384,10.85
385,10.75
386,10.65
387,10.55
388,10.75
389,10.9
390,10.8
391,10.75
392,10.8
393,10.75
394,10.9
395,11.1
396,11.1
397,10.9
398,10.7
399,10.7
400,10.6
