time(s),temp_rise(℃）
1,0.2
2,0.95
3,1.7
4,2.45
5,3.15
6,3.9
7,4.7
8,5.5
9,6.25
10,7.15
11,8
12,8.8
13,9.55
14,10.4
15,11.1
16,11.95
17,12.6
18,13.25
19,13.85
20,14.5
21,15.2
22,15.85
23,16.45
24,17
25,17.2
26,17.6
27,17.85
28,18.85
29,19.95
30,20.65
31,21.5
32,21.95
33,22.75
34,23.35
35,23.75
36,24.15
37,24.75
38,25.45
39,26.05
40,26.3
41,26.5
42,26.9
43,27.4
44,27.75
45,28.45
46,28.7
47,28.85
48,28.95
49,29
50,29.15
51,29.55
52,29.7
53,29.9
54,30
55,30.35
56,30.6
57,30.9
58,31.3
59,31.5
60,31.55
61,31.7
62,31.8
63,32.2
64,32.4
65,32.6
66,32.65
67,33
68,33.25
69,33.45
70,33.2
71,33.55
72,33.35
73,33.35
74,33.55
75,33.8
76,34.35
77,34.7
78,34.9
79,34.75
80,34.85
81,35
82,35.3
83,35.4
84,35.05
85,35
86,35
87,35.15
88,35.1
89,35.25
90,35.5
91,35.75
92,35.8
93,35.95
94,35.6
95,35.45
96,35.6
97,35.9
98,35.95
99,35.95
100,36.05
101,36.05
102,36.4
103,36.6
104,36.8
105,36.6
106,36.8
107,37.1
108,36.95
109,37.1
110,37.1
111,37.2
112,37.1
113,37.25
114,37.25
115,37.2
116,37.25
117,37.3
118,37.5
119,37.45
120,37.45
121,37.3
122,37.15
123,37
124,37.15
125,37.3
126,37.1
127,37.15
128,37.45
129,37.65
130,37.45
131,36.9
132,37.4
133,38.2
134,38.7
135,38.8
136,38.55
137,38.25
138,37.65
139,38.1
140,38.6
141,39.1
142,39.45
143,39.4
144,39.35
145,39.05
146,38.9
147,38.8
148,38.5
149,38.5
150,38.7
151,38.6
152,38.7
153,38.5
154,38.45
155,38.05
156,38.15
157,38.35
158,38.2
159,38.1
160,38.2
161,38
162,38.1
163,38.25
164,38.3
165,38.15
166,37.9
167,38.05
168,37.85
169,37.4
170,37.7
171,37.9
172,37.85
173,37.8
174,37.95
175,37.65
176,37.6
177,37.9
178,37.8
179,37.75
180,37.75
181,37.75
182,37.6
183,37.8
184,38.05
185,38.05
186,38.05
187,38.05
188,38.15
189,38.65
190,38.6
191,38.6
192,38.5
193,38.05
194,38.25
195,38.4
196,38.4
197,38.25
198,38.35
199,38.45
200,38.75
201,38.8
202,39.05
203,39.05
204,39.15
205,39.3
206,39.1
207,38.85
208,38.7
209,38.6
210,38.35
211,38.5
212,38.65
213,38.7
214,38.55
215,38.5
216,38.3
217,38.4
218,38.7
219,38.65
220,38.5
221,38.5
222,38.6
223,38.35
224,38.35
225,38.35
226,38.55
227,38.5
228,38.3
229,38.25
230,38.6
231,38.4
232,38.65
233,38.45
234,38.45
235,38.35
236,38.55
237,38.85
238,39.05
239,38.75
240,38.7
241,38.7
242,38.6
243,38.65
244,38.15
245,38
246,38.25
247,38.2
248,37.9
249,37.45
250,37.55
251,37.6
252,37.9
253,38.25
254,38.3
255,37.9
256,38
257,37.95
258,38.15
259,38.45
260,38.4
261,38.5
262,38.45
263,38.65
264,38.45
265,38.25
266,38.15
267,38.1
268,38.2
269,38.4
270,38.4
271,38.35
272,38.35
273,38.2
274,38.15
275,38.1
276,38.2
277,38.1
278,37.95
279,38.25
280,38.35
281,38.7
282,38.6
283,38.4
284,38.5
285,38.5
286,38.5
287,38.85
288,39
289,38.7
290,38.55
291,38.8
292,38.75
293,38.65
294,38.55
295,38.45
296,38.25
297,38.45
298,38.4
299,38.45
300,38.35
301,38.35
302,38.4
303,38.4
304,38.2
305,38.25
306,38.3
307,38.4
308,38.4
309,38.6
310,38.65
311,38.55
312,38.3
313,38.25
314,38.15
315,38.05
316,37.85
317,37.5
318,37.8
319,37.95
320,38
321,38.05
322,38
323,37.7
324,37.6
325,37.85
326,37.8
327,37.6
328,37.45
329,37.55
330,37.7
331,37.9
332,38.05
333,37.95
334,37.8
335,37.85
336,37.85
337,38
338,37.95
339,37.85
340,37.9
341,38.15
342,38.35
343,38.4
344,38.35
345,38.4
346,38.3
347,38.2
348,38.35
349,38.4
350,38.2
351,38.3
352,38.15
353,38.35
354,38.3
355,38.15
356,38.05
357,38.05
358,38.25
359,38.5
360,38.7
361,38.45
362,38
363,38.1
364,37.95
365,38.15
366,38.55
367,38.35
368,38.25
369,38.35
370,38.45
371,38.2
372,38.05
373,38.35
374,38.3
375,38.85
376,38.7
377,38.75
378,38.7
379,38.6
380,38.6
381,38.55
382,38.25
383,38.2
384,38.05
385,38.25
386,38.25
387,38.35
388,38.25
389,38.45
390,38.4
391,38.15
392,38.1
393,38.2
394,38
395,38.3
396,38.25
397,38.1
398,38.1
399,38
400,37.95
401,37.8
402,37.8
403,37.3
404,38.05
405,38.05
406,38.25
407,38.2
408,38.3
409,38.15
410,38.15
411,38.3
412,38.05
413,38.2
414,38.2
415,38.2
416,38.25
417,38.1
418,38.4
419,38.4
420,38.65
421,38.6
422,38.35
423,38.1
424,38.1
425,38.4
426,38.4
427,38.15
428,38.45
429,38.15
430,38.55
431,38.7
432,38.4
433,38.2
434,38.05
435,37.85
436,37.6
437,37.65
438,37.5
439,37.4
440,38.3
441,38.6
442,38.45
443,38.6
444,38.6
445,38.55
446,38.5
447,38.4
448,38.5
449,38.4
450,38.4
451,38.55
452,38.3
453,38.35
454,38.15
455,38.25
456,38.3
457,38.25
458,38.15
459,37.95
460,37.9
461,37.7
462,37.35
463,37.7
464,37.5
465,37.4
466,37.25
467,37.15
468,37.05
469,37
470,36.85
471,36.95
472,36.85
473,36.85
474,36.7
475,37.05
476,37.05
477,37.4
478,37.1
479,37.2
480,37.3
481,37.3
482,37.25
483,37.15
484,37.3
485,37.2
486,36.95
487,37
488,37.05
489,37.2
490,37.2
491,37.55
492,37.4
493,37.2
494,37.45
495,37.35
496,37.25
497,37.45
498,37.7
499,37.65
500,37.55
501,37.6
502,37.6
503,38
504,37.85
505,37.7
506,37.7
507,37.85
508,38.1
509,38.3
510,38.55
511,38.45
512,38.35
513,38.35
514,38.35
515,38.15
516,38.2
517,38.15
518,38.1
519,38.4
520,38.35
521,38.05
522,38
523,37.85
524,37.8
525,38.1
526,38.3
527,38.1
528,38.35
529,38.45
530,38.35
531,38.45
532,38.3
533,38.25
534,38
535,37.85
536,37.65
537,37.45
538,37.25
539,37
540,36.95
541,37
542,36.95
543,37.15
544,37.05
545,36.9
546,36.95
547,36.75
548,36.75
549,36.6
550,36.6
551,36.9
552,37.05
553,37.15
554,37.2
555,37.5
556,37.15
557,36.85
558,36.55
559,36.65
560,36.7
561,36.7
562,36.4
563,36.4
564,36.4
565,36.5
566,36.2
567,36.2
568,36.25
569,36.3
570,36.5
571,36.45
572,36.5
573,36.9
574,36.8
575,36.6
576,36.55
577,36.55
578,36.45
579,36.55
580,36.6
581,36.95
582,36.9
583,36.8
584,36.9
585,36.9
586,36.65
587,36.6
588,36.7
589,36.8
590,36.9
591,36.75
592,37.05
593,37.05
594,37.15
595,37.4
